bio_count,he/him,she/her,they/them,she/they,he/they,us_day_YYYY_MM_DD
259885,10.773996190622775,50.0221251707486,9.234853877676665,4.2326413606018045,3.463070204128749,2019_03_14
246867,11.342139694653396,40.10256534895308,10.937063276987203,6.076146264992891,2.835534923663349,2019_03_15
221224,12.204824069721187,53.339601489892594,9.944671464217263,5.424366253209417,0.9040610422015695,2019_03_16
219198,13.230047719413498,49.270522541264064,14.14246480351098,6.386919588682378,0.9124170840974827,2019_03_17
247440,10.911736178467507,46.88005172971226,12.52828968638862,4.849660523763337,2.02069188490139,2019_03_18
253484,13.018573164381184,41.422732795758314,13.018573164381184,3.5505199539221413,1.1835066513073804,2019_03_19
258286,9.67919283275129,44.137119317345885,13.163702252541755,4.258844846410568,0.7743354266201034,2019_03_20
254202,14.1619656808365,52.32059543197929,14.1619656808365,6.294206969260666,1.9669396778939583,2019_03_21
247876,10.489115525504689,41.55303458180703,12.102825606351562,4.8411302425406255,1.2102825606351564,2019_03_22
222619,11.229948926192284,53.903754845722965,13.026740754383049,5.839573441619987,0.44919795704769133,2019_03_23
241639,16.967459722975182,49.66085772578102,12.00137395039708,5.3799262536262775,1.6553619241927007,2019_03_24
256299,14.436263894903998,51.502346868306155,12.09524812816281,7.413216594680432,0.7803385889137296,2019_03_25
259759,11.934138951874623,51.97125027429271,10.394250054858542,7.314472260826381,1.5398888970160802,2019_03_26
255091,12.936559894312225,51.35422261075459,11.368492028334986,4.704203597931718,2.352101798965859,2019_03_27
263183,12.538803798117659,46.35557767788953,12.158840046659549,4.939528768955442,1.8998187572905545,2019_03_28
240390,14.559673863305463,49.9188818170473,10.815757727026915,8.31981363617455,3.32792545446982,2019_03_29
217887,15.604418804242567,62.41767521697027,12.391744344545566,7.802209402121283,2.7537209654545705,2019_03_30
243023,16.047863782440345,62.54552038284442,13.990445348794147,7.4067063611263135,1.2344510601877188,2019_03_31
249544,14.8270445292213,53.29721411855224,10.41900426377713,5.610233065110762,2.0036546661109864,2019_04_01
251222,16.718281042265406,54.13538623209751,12.73773793696412,8.757194831662831,2.786380173710901,2019_04_02
250025,14.398560143985602,51.99480051994801,12.398760123987602,8.399160083991601,3.5996400359964005,2019_04_03
240795,15.365767561618805,50.25021283664528,14.119894516082145,7.059947258041072,1.2458730455366598,2019_04_04
239539,15.446336504702783,52.601037826825696,11.27165096289122,5.427091204355032,2.0873427709057815,2019_04_05
221716,11.726713453246495,57.73151238521351,13.079795774774936,6.3143841671327285,4.510274405094806,2019_04_06
231605,11.226009801170095,60.01597547548628,11.657779408907407,8.203622547008916,3.02238725416118,2019_04_07
250564,12.372088568190163,47.093756485369006,9.977490780798519,5.58739483724717,1.1972988936958222,2019_04_08
