trigram,overall,he/him,she/her,they/them,he/they,she/they,multiple,pronoun list
a big fan,1.161,1.945,1.144,-1.039,-1.111,0.0,0.0,1.306
lover of animals,1.074,-4.513,2.397,0.0,0.0,1.143,0.0,1.3
my spare time,1.199,1.585,1.108,2.329,0.0,-1.953,3.646,1.298
instagram http //instagram,1.172,1.927,1.133,-2.097,0.0,-1.909,3.73,1.294
lover of music,2.224,1.282,1.456,1.004,-1.065,-1.811,1.965,1.292
and all things,3.989,1.072,1.603,-1.428,-1.273,1.232,0.0,1.29
i need to,1.365,1.48,1.217,1.228,-1.306,1.35,0.0,1.286
looking to make,1.304,2.643,-1.964,1.285,1.602,0.0,0.0,1.285
just want to,3.429,1.629,1.065,-1.228,-1.641,2.149,0.0,1.28
social studies teacher,1.122,1.694,1.332,-2.007,-1.074,0.0,0.0,1.28
president of the,2.246,1.693,1.257,-2.011,0.0,1.094,0.0,1.279
best i can,1.497,1.588,1.165,1.492,1.395,-2.438,0.0,1.279
striving to be,1.065,1.451,1.403,-1.905,0.0,1.153,0.0,1.274
trying to make,9.619,1.656,1.113,-1.076,1.303,-1.044,-2.201,1.273
i need a,1.258,1.511,1.122,1.332,-1.204,1.465,0.0,1.269
looking for new,1.008,1.651,-1.012,1.108,2.072,1.218,0.0,1.267
to find my,1.229,1.354,1.013,1.364,2.55,1.999,0.0,1.266
hello my name,1.42,1.256,-1.069,3.146,-1.359,1.298,6.156,1.264
check out my,13.806,1.412,1.083,1.497,1.286,1.557,1.266,1.263
stay at home,2.116,1.573,1.295,-1.894,1.481,-3.446,0.0,1.263
in that order,7.181,1.804,1.226,-2.571,-6.872,-3.896,1.826,1.261
