trigram,overall,he/him,she/her,they/them,he/they,she/they,multiple,pronoun list
like to be,657,15,19,1,1,5,1,42
who believes in,657,6,9,0,1,0,0,16
is not an,655,14,11,1,2,2,0,30
music is life,655,5,9,1,0,0,0,15
to help others,655,6,5,1,1,0,1,14
of the new,655,5,5,0,0,0,0,10
the best way,654,6,9,1,1,1,0,18
father of a,654,11,0,1,1,0,0,13
glory to god,654,2,0,0,0,0,0,2
my spare time,653,16,16,5,0,1,1,39
of all the,653,8,21,2,2,1,0,34
states of america,653,2,1,0,0,0,0,3
and more we’re,653,0,0,0,0,0,0,0
in need of,652,17,28,1,0,3,0,49
dreams come true,652,2,3,1,1,2,0,9
the mission of,652,0,0,0,0,0,0,0
phd student at,651,49,69,7,4,4,2,135
more than a,651,12,15,0,0,0,1,28
more we’re your,651,0,0,0,0,0,0,0
we’re your source,651,0,0,0,0,0,0,0
was born in,650,6,4,1,0,0,0,11
just a young,650,6,4,1,0,0,0,11
when i can,649,21,12,5,0,4,1,43
is a new,649,2,4,2,1,0,0,9
i help people,648,8,4,0,0,1,0,13
meet new people,647,12,4,0,1,0,0,17
you think you,647,6,4,1,0,2,0,13
love my life,647,0,4,0,0,0,0,4
are my opinion,646,11,10,0,0,0,0,21
the life of,646,5,6,1,0,0,0,12
jesus is my,646,1,0,0,0,0,0,1
love god family,646,0,1,0,0,0,0,1
is a nonprofit,646,0,0,0,0,0,0,0
the right thing,645,11,10,0,0,1,1,23
league of legends,644,36,19,2,5,1,0,63
a work in,644,13,24,3,1,1,0,42
you don’t like,644,9,10,3,0,2,0,24
wife mom and,644,0,14,0,0,0,0,14
family and my,644,2,4,0,0,0,0,6
football coach at,644,0,0,0,0,0,0,0
looking for friends,643,23,12,4,5,0,0,44
we are not,643,3,12,1,1,1,0,18
for you to,643,6,4,5,1,1,0,17
and real estate,643,0,1,0,0,0,0,1
things i like,642,36,20,5,5,6,2,74
new york times,642,23,25,1,1,1,0,51
do it for,642,7,10,1,1,2,0,21
the key to,642,4,1,0,0,2,0,7
to improve the,642,5,2,0,0,0,0,7
a 501 c,642,1,0,0,0,0,0,1
trying to keep,641,12,26,0,2,1,0,41
lost in the,641,12,17,1,2,4,0,36
leader of the,641,14,5,1,0,2,0,22
man trying to,641,16,0,0,2,0,0,18
on all streaming,641,4,3,0,2,2,1,12
if you can't,640,8,12,1,0,0,0,21
crazy cat lady,639,0,100,0,0,5,1,106
hi i am,639,11,10,3,1,3,0,28
and all the,638,13,21,2,2,2,1,41
instagram http //instagram,638,19,16,1,0,1,1,38
with the world,638,9,3,0,0,2,0,14
and mother of,638,1,9,1,0,2,0,13
what we do,637,2,8,1,0,0,0,11
i wish i,636,19,28,3,2,6,3,61
not an endorsement,636,16,5,1,0,2,0,24
i love it,636,6,13,2,0,2,0,23
meeting new people,635,8,4,2,0,1,0,15
it comes to,635,5,5,1,1,0,0,12
joshua 1 9,635,2,2,0,0,0,0,4
play games and,634,35,24,9,3,7,3,81
with a love,634,23,19,7,5,5,1,60
are here to,634,2,2,0,0,0,0,4
things through christ,634,0,2,0,0,0,0,2
all opinions my,633,44,85,7,5,4,1,146
for me to,633,11,20,4,2,2,2,41
no one is,633,9,21,2,1,0,0,33
teacher of the,633,7,20,0,0,0,0,27
a big fan,632,19,16,2,1,0,0,38
daughter of the,632,1,16,0,0,1,0,18
who loves the,632,4,7,1,0,1,0,13
twitter feed for,632,2,0,1,0,0,0,3
just out here,631,13,31,2,0,3,2,51
more than i,631,20,25,3,1,2,0,51
my life i,631,4,11,1,1,0,0,17
am here to,631,3,5,1,0,0,0,9
the department of,631,3,1,0,0,0,0,4
high school in,631,0,1,0,0,0,0,1
3 7 gpa,631,0,0,0,0,0,0,0
and author of,630,12,9,2,0,2,1,26
you know what,630,12,10,0,1,1,0,24
love to cook,630,4,3,0,2,0,0,9
youtube com/watch v,630,3,4,0,1,0,0,8
you are the,628,5,17,0,2,2,0,26
love is the,628,8,10,1,0,0,0,19
social media marketing,627,1,11,1,0,0,0,13
dms always open,626,78,12,10,9,5,1,115
but i do,626,16,18,3,1,3,1,42
and social media,626,12,15,1,1,1,0,30
