token,overall,he/him,she/her,they/them,he/they,she/they,multiple,pronoun list
bts,15.863,4.516,93.238,24.016,7.312,45.449,26.224,51.509
animal,31.672,33.038,68.911,36.303,27.16,49.748,43.706,51.469
dogs,30.443,38.505,71.817,18.989,18.803,23.339,30.594,51.309
insta,38.789,36.96,56.208,58.084,59.542,71.244,39.336,50.83
gaming,34.081,82.477,30.885,39.654,52.23,36.851,83.042,50.511
making,38.901,62.749,41.928,47.473,48.052,43.606,78.671,49.992
occasional,13.885,63.105,40.682,55.85,45.963,40.536,83.042,49.873
//t,43.41,72.613,38.192,40.771,44.918,31.323,48.077,49.833
learning,37.18,53.36,51.808,34.069,45.963,34.394,61.189,49.793
doing,30.481,51.34,48.155,51.941,48.052,50.977,56.818,49.753
white,22.696,47.062,38.69,99.972,81.479,62.646,113.636,49.753
leftist,6.371,72.019,27.315,70.371,94.014,44.835,100.524,49.753
witch,7.442,10.934,63.764,72.047,57.453,113.008,78.671,49.713
taken,14.196,57.995,28.478,80.983,138.932,68.173,104.895,49.633
ace,6.287,33.87,42.758,113.935,61.632,95.811,109.266,49.633
assistant,33.468,50.746,58.118,21.782,19.847,31.937,21.853,49.554
u,63.865,42.783,52.389,59.201,44.918,55.276,39.336,49.434
name,36.116,53.598,43.007,64.228,59.542,46.677,96.154,49.434
im,42.58,42.546,38.856,84.334,98.193,87.827,100.524,49.354
profile,16.258,70.592,31.55,64.228,64.765,38.079,91.783,49.234
scientist,19.643,60.134,50.978,20.106,26.115,27.638,26.224,49.155
voice,23.331,71.068,32.048,45.239,84.613,44.835,52.448,49.115
non-binary,5.069,5.586,3.902,425.579,150.423,100.725,266.608,48.875
creative,35.817,50.152,49.4,46.356,44.918,39.921,30.594,48.476
comics,13.279,76.416,27.481,56.409,52.23,48.52,34.965,48.357
cosplayer,7.18,23.174,50.812,88.244,74.167,93.355,96.154,48.277
real,93.413,48.725,48.57,45.239,47.007,48.52,17.483,48.037
looking,57.124,65.482,36.033,51.941,65.81,29.48,61.189,47.998
everything,60.366,48.369,49.068,46.914,39.695,46.063,26.224,47.918
woman,31.842,6.774,83.108,16.755,2.089,59.575,61.189,47.918
political,35.731,66.552,42.675,25.691,32.383,17.197,52.448,47.519
single,38.614,75.227,29.308,35.744,74.167,32.551,69.93,47.479
heart,43.656,40.763,55.627,37.42,33.427,40.536,48.077,47.439
over,54.821,46.467,50.313,43.563,34.472,38.079,78.671,47.399
space,24.543,51.221,41.513,61.994,53.275,50.362,48.077,47.319
etc,21.528,54.905,43.505,38.537,43.873,45.449,65.559,47.319
kind,28.817,45.873,52.057,34.069,39.695,35.622,43.706,47.08
m,64.655,55.499,43.671,34.627,50.141,35.008,61.189,46.84
boy,36.583,81.526,22.168,41.329,121.174,12.898,34.965,46.761
cool,29.526,62.155,35.701,44.68,58.498,35.008,109.266,46.721
local,32.557,44.209,39.022,73.722,79.39,68.173,39.336,46.681
culture,30.188,46.586,54.133,21.782,18.803,23.339,43.706,45.843
funny,24.116,52.647,39.105,47.473,58.498,49.134,61.189,45.843
founder,53.789,56.45,45.415,27.367,27.16,25.795,8.741,45.524
most,52.825,57.282,40.599,39.654,42.829,27.024,56.818,45.484
16,21.188,48.963,36.116,57.526,97.148,50.977,61.189,45.484
dev,12.1,73.801,26.236,45.797,60.587,28.866,65.559,45.444
board,20.802,71.187,38.192,18.989,14.624,17.197,13.112,45.404
activist,22.145,36.603,51.476,55.292,35.517,33.78,83.042,45.284
words,17.553,40.644,55.627,25.691,22.981,31.937,13.112,45.284
made,38.526,53.836,37.86,43.005,57.453,43.606,69.93,45.005
year,39.795,52.053,36.946,58.084,55.364,38.079,104.895,44.925
full,37.235,43.259,43.588,58.643,47.007,46.063,48.077,44.885
read,22.914,39.575,49.981,43.005,43.873,35.008,52.448,44.806
how,45.884,46.349,45.747,44.68,34.472,36.851,30.594,44.726
born,61.536,54.668,44.668,21.223,26.115,25.795,43.706,44.407
b,38.87,41.357,43.09,54.733,52.23,53.433,26.224,44.207
liberal,27.982,45.041,55.627,11.729,11.491,11.669,26.224,44.127
progressive,18.596,63.581,41.264,16.755,22.981,8.598,34.965,44.127
prof,13.062,45.636,53.8,9.495,15.669,17.197,30.594,43.848
disabled,10.403,21.867,39.852,128.456,69.989,71.858,61.189,43.569
4,80.931,40.169,49.151,37.42,25.071,35.622,30.594,43.329
data,27.118,67.621,33.708,21.223,24.026,25.181,34.965,43.29
see,52.514,45.992,41.845,41.329,41.784,38.693,69.93,43.25
senior,24.648,60.134,41.679,12.846,16.714,19.039,21.853,43.21
youtube,60.089,69.285,27.98,31.276,48.052,30.709,43.706,43.17
it's,41.369,53.598,37.444,39.654,42.829,34.394,52.448,43.17
comic,14.526,69.642,23.911,47.473,58.498,35.622,30.594,43.09
research,34.004,47.418,50.562,15.08,17.758,13.512,17.483,43.01
age,15.143,46.23,33.625,55.85,81.479,46.063,118.007,42.851
31,11.738,44.447,34.456,64.228,56.409,57.732,91.783,42.811
american,64.53,49.676,43.837,29.601,28.204,21.496,26.224,42.571
tired,11.876,33.157,42.094,75.956,49.096,49.748,61.189,42.452
back,64.392,46.23,41.264,43.005,34.472,38.079,21.853,42.412
cancer,24.119,23.531,56.623,31.276,26.115,57.732,21.853,42.292
us,105.069,52.41,38.69,33.51,29.249,31.323,39.336,42.093
addict,21.623,44.091,46.328,25.133,31.338,27.024,17.483,41.973
major,18.65,46.349,33.957,49.707,71.033,52.819,43.706,41.973
support,41.946,46.705,38.358,45.797,45.963,35.008,56.818,41.933
pro,40.844,53.241,36.199,27.367,40.74,41.764,21.853,41.694
stream,21.664,55.737,27.897,38.537,68.944,52.205,78.671,41.614
graphic,21.822,46.586,38.358,37.978,49.096,37.465,48.077,41.534
obsessed,14.096,26.264,52.887,38.537,32.383,41.764,48.077,41.374
master,24.048,62.868,26.9,41.888,50.141,28.252,34.965,41.095
discord,19.41,66.671,18.349,45.797,76.256,42.378,100.524,41.055
bitch,21.945,16.4,51.559,59.76,31.338,73.701,48.077,40.975
alumna,26.36,0.238,80.867,2.234,0.0,26.41,0.0,40.816
